fold,model,valid_rows,fit_seconds,MAE,RMSE,WAPE,sMAPE,MASE
1,lstm_default,720,225.1,0.3633,0.506,0.3762,0.3831,0.6128
2,lstm_default,720,197.4,0.3011,0.4167,0.399,0.3874,0.5098
3,lstm_default,601,212.8,0.23,0.3173,0.4424,0.4048,0.3873
4,lstm_default,654,205.4,0.3603,0.4778,0.3773,0.3974,0.6145
5,lstm_default,699,206.4,0.4318,0.6117,0.3698,0.3826,0.7389
6,lstm_default,720,194.8,0.3735,0.5498,0.3161,0.3392,0.6412
