fold,model,valid_rows,fit_seconds,MAE,RMSE,WAPE,sMAPE,MASE
1,xgb_default,720,15.9,0.3351,0.4711,0.3469,0.3594,0.5651
2,xgb_default,720,4.0,0.3324,0.4445,0.4405,0.4181,0.5629
3,xgb_default,601,4.1,0.2147,0.3126,0.4128,0.3682,0.3614
4,xgb_default,654,4.0,0.3352,0.4529,0.351,0.3773,0.5715
5,xgb_default,699,3.5,0.4024,0.559,0.3446,0.3723,0.6885
6,xgb_default,720,4.5,0.3994,0.5691,0.338,0.3616,0.6857
