fold,model,valid_rows,fit_seconds,MAE,RMSE,WAPE,sMAPE,MASE
1,gru_default,720,478.3,0.3555,0.4924,0.368,0.3811,0.5995
2,gru_default,720,546.3,0.2998,0.4178,0.3973,0.3862,0.5076
3,gru_default,601,439.4,0.1905,0.3096,0.3664,0.3095,0.3207
4,gru_default,654,399.9,0.3739,0.4764,0.3915,0.4253,0.6376
5,gru_default,699,399.8,0.4422,0.6008,0.3787,0.4005,0.7566
6,gru_default,720,502.4,0.3747,0.5557,0.3171,0.3397,0.6432
