model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WAPE_mean,WAPE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
xgb_default,0.3361,0.0675,0.4691,0.0925,0.372,0.0444,0.3755,0.024,0.5718,0.1182
gru_default,0.3394,0.086,0.4754,0.1032,0.3698,0.0286,0.3737,0.0421,0.5775,0.1492
lstm_default,0.3433,0.0694,0.4799,0.1033,0.3801,0.0411,0.3824,0.0229,0.5841,0.121
sarima_111_111_24,0.3454,0.0789,0.4902,0.0973,0.3783,0.0275,0.389,0.0253,0.5877,0.1373
naive_lag_1h,0.3801,0.1071,0.5628,0.1345,0.41,0.0199,0.3916,0.0472,0.6469,0.1857
naive_lag_24h_daily,0.4866,0.1529,0.7148,0.18,0.5195,0.0647,0.4788,0.0949,0.8284,0.2642
naive_lag_168h_weekly,0.5461,0.1311,0.7766,0.1696,0.6011,0.0695,0.5558,0.0418,0.9295,0.2299
