fold,model,valid_rows,fit_seconds,MAE,RMSE,WAPE,sMAPE,MASE
1,xgb_with_weather,712,5.8,0.3359,0.4684,0.3476,0.3636,0.5452
2,xgb_with_weather,699,4.7,0.3269,0.4349,0.4298,0.4167,0.5323
3,xgb_with_weather,601,3.8,0.2122,0.3087,0.4082,0.3628,0.3436
4,xgb_with_weather,650,3.8,0.332,0.4521,0.3474,0.3728,0.5452
5,xgb_with_weather,679,3.6,0.3999,0.5567,0.3452,0.3682,0.6602
6,xgb_with_weather,691,3.5,0.3967,0.5593,0.3345,0.3579,0.6567
